/freqpeak : [400.39, 0.00688738, 934.864, 0.0476316, 1335.81, 0.0498097, 1856.6, 0.0539678, 2271.94, 0.0728157]
/freqpeak : [446.535, 0.0173289, 974.158, 0.0377838, 1504.3, 0.281798, 2027.4, 0.0556863, 2460.71, 0.0359412]
/freqpeak : [478.36, 0.00832424, 861.254, 0.087778, 1340.02, 0.0267878, 1819.31, 0.019379, 2201.53, 0.0441616]
/freqpeak : [391.219, 0.00745667, 777.777, 0.00201277, 990.513, 0.069117, 930.278, 0.11449, 1981.77, 0.0431309]
/freqpeak : [435.133, 0.0068134, 646.59, 0.0181216, 840.7, 0.0215388, 1080.43, 0.0333123, 1496.68, 0.0862405]
/freqpeak : [360.965, 0.0101409, 638.333, 0.0107887, 889.838, 0.0158093, 1077.32, 0.0579601, 1470.33, 0.121217]
/freqpeak : [372.401, 0.012436, 643.428, 0.0127341, 898.127, 0.00420403, 1528.34, 0.0945335, 1976.7, 0.0505204]
/freqpeak : [454.194, 0.0187978, 598.966, 0.0141218, 985.175, 0.0786756, 1503.87, 0.329372, 1929.04, 0.0810205]
/freqpeak : [425.927, 0.0124357, 577.577, 0.0127547, 1070.07, 0.0686355, 1510.09, 0.134504, 1959.91, 0.0152171]
/freqpeak : [581.045, 0.00151977, 910.359, 0.0683976, 1501.33, 0.0299322, 1828.39, 0.0738608, 2411.74, 0.011361]
